"Glottocode","Name","Macroarea","Latitude","Longitude","ISO639P3code","Level","Family_ID","Language_ID","Is_Isolate","Family_Name","Isolates_Balanced_Sample","Isolates_Sample","American_Sample","Worldwide_Sample","North_American_Split_Sample","South_American_Split_Sample","North_American_Universal_Sample","South_American_Universal_Sample","North_America_25_SALSA_Sample","Noun_Poss_Sample"
"siam1242","Siamou","Africa",10.998,-4.92143,"sif","language","","","true",,"1","1",,"1",,,,,,"1"
"ando1256","Andoque","South America",-0.53751,-72.0869,"ano","language","","","true",,,,"1",,,"1",,,,
"urar1246","Urarina","South America",-4.44006,-75.4211,"ura","language","","","true",,"1","1","1",,,"1",,"1",,
"karo1304","Karuk","North America",41.8228,-123.315,"kyh","language","","","true",,"1","1","1",,"1",,"1",,"1",
"wara1303","Warao","South America",7.50851,-59.3528,"wba","language","","","true",,,"1","1",,,"1",,"1",,
"savo1255","Savosavo","Papunesia",-9.12853,159.814,"svs","language","","","true",,"1","1",,"1",,,,,,"1"
"kwaz1243","Kwaza","South America",-11.6667,-61.1833,"xwa","language","","","true",,,"1","1",,,"1",,,,
"kute1249","Kutenai","North America",48.7892,-115.065,"kut","language","","","true",,,"1","1",,"1",,,,,
"kuna1268","Kunama","Africa",14.5879,37.5292,"kun","language","","","true",,"1","1",,"1",,,,,,"1"
"abun1252","Abun","Papunesia",-0.57073,132.416,"kgr","language","","","true",,"1","1",,"1",,,,,,"1"
"wash1253","Washo","North America",38.8184,-119.64,"was","language","","","true",,,"1","1",,"1",,,,,
"kano1245","Kanoê","South America",-12.1789,-64.5812,"kxo","language","","","true",,"1","1","1",,,"1",,,,
"bilu1245","Bilua","Papunesia",-7.92388,156.663,"blb","language","","","true",,"1","1",,"1",,,,,,"1"
"laal1242","Laal","Africa",10.0063,17.6143,"gdm","language","","","true",,"1","1",,"1",,,,,,
"alse1251","Alsea-Yaquina","North America",44.408,-123.94,"aes","language","","","true",,"1","1","1",,"1",,,,,"1"
"yana1271","Yana","North America",39.2769,-121.608,"ynn","language","","","true",,"1","1","1",,"1",,,,"1",
"gaga1251","Gaagudju","Australia",-12.5176,132.643,"gbu","language","","","true",,"1","1",,"1",,,,,,"1"
"pech1241","Pech","North America",15.8033,-85.558,"pay","language","chib1249","","false","Chibchan",,,"1",,"1","1",,,,"1"
"nucl1633","Nimboran","Papunesia",-2.5803,140.179,"nir","language","nimb1257","","false","Nimboranic","1","1",,"1",,,,,,"1"
"goon1238","Gooniyandi","Australia",-18.4073,126.351,"gni","language","buna1274","","false","Bunaban","1","1",,"1",,,,,,"1"
"agua1253","Aguaruna","South America",-5.30044,-77.9218,"agr","language","jiva1245","","false","Chicham","1","1","1",,,"1",,,,"1"
"ward1246","Wardaman","Australia",-15.4155,132.604,"wrr","language","yang1287","","false","Yangmanic","1","1",,"1",,,,,,"1"
"nucl1327","Limilngan","Australia",-12.4294,131.845,"lmc","language","limi1242","","false","Limilngan-Wulna","1","1",,"1",,,,,,"1"
"yagu1244","Yagua","South America",-3.42913,-72.2186,"yad","language","peba1241","","false","Peba-Yagua",,"1","1",,,"1",,,,
"chip1262","Chipaya","South America",-18.73951,-67.89633,"cap","language","uruc1242","","false","Uru-Chipaya","1","1","1",,,"1",,"1",,"1"
"kitj1240","Kitja","Australia",-17.5758,127.392,"gia","language","jarr1235","","false","Jarrakan","1","1",,"1",,,,,,"1"
"chiq1248","Lomeriano-Ignaciano Chiquitano","South America",-16.769554,-61.817795,"cax","language","chiq1253","","false","Chiquitano",,"1","1",,,"1",,"1",,"1"
