"Glottocode","Name","Macroarea","Latitude","Longitude","ISO639P3code","Level","Family_ID","Language_ID","Is_Isolate","Family_Name","Isolates_Balanced_Sample","Isolates_Sample","American_Sample","Worldwide_Sample","North_American_Split_Sample","South_American_Split_Sample","North_American_Universal_Sample","South_American_Universal_Sample","North_America_25_SALSA_Sample","Noun_Poss_Sample"
"wayu1243","Wayuu","South America",11.395566,-72.199791,"guc","language","araw1281","","false","Arawakan",,,"1",,,"1",,,,
"yane1238","Yanesha'","South America",-10.5454,-75.315,"ame","language","araw1281","","false","Arawakan",,,"1",,,"1",,,,
"wich1262","Wichí Lhamtés Nocten","South America",-21.988,-63.5971,"mtp","language","mata1289","","false","Matacoan","1","1","1",,,"1",,,,
"muru1274","Murui Huitoto","South America",-1.13669,-73.8331,"huu","language","huit1251","","false","Huitotoan",,"1","1",,,"1",,,,
"wara1302","Bauni","Papunesia",-3.07263,142.012,"bpe","language","skoo1245","","false","Sko","1","1",,"1",,,,,,"1"
"hida1246","Hidatsa","North America",47.33,-102,"hid","language","siou1252","","false","Siouan",,,"1",,"1",,,,"1",
"tute1247","Tutelo","North America",37.67,-78.75,"tta","language","siou1252","","false","Siouan",,,"1",,"1",,,,,
"kyon1247","Kyongsangdo","Eurasia",35.3,128.3,"","dialect","kore1284","kore1280","","Koreanic","1","1",,"1",,,,,,"1"
"imon1245","Imonda","Papunesia",-3.31228,141.171,"imn","language","bord1247","","false","Border","1","1",,"1",,,,,,"1"
"nung1290","Wubuy","Australia",-14.2623,135.753,"nuy","language","gunw1250","","false","Gunwinyguan","1","1",,"1",,,,,,"1"
"esee1248","Ese Ejja","South America",-11.7268,-67.515,"ese","language","pano1259","","false","Pano-Tacanan","1","1","1",,,"1",,"1",,
"kenu1243","Kenuzi","Africa",24.09,32.9,"xnz","dialect","nubi1251","kenu1236","","Nubian","1","1",,"1",,,,,,"1"
"gras1249","Grass Koiari","Papunesia",-9.51218,147.437,"kbk","language","koia1260","","false","Koiarian","1","1",,"1",,,,,,"1"
"alam1246","Alamblak","Papunesia",-4.66307,143.316,"amp","language","sepi1257","","false","Sepik","1","1",,"1",,,,,,"1"
"mari1424","Marithiel","Australia",-13.8818,130.237,"mfr","language","west2434","","false","Western Daly","1","1",,"1",,,,,,"1"
"hupd1244","Hup","South America",0.58622,-69.8359,"jup","language","nada1235","","false","Naduhup",,"1","1",,,"1",,,,
"yauy1235","Yauyos Quechua","South America",-12.62,-75.7,"qux","language","quec1387","","false","Quechuan",,,"1",,,"1",,,,
"maya1285","Mayangna","North America",14.1259,-84.3439,"yan","language","misu1242","","false","Misumalpan",,,"1",,"1","1",,,,
"bard1255","Bardi","Australia",-16.6274,122.906,"bcj","language","nyul1248","","false","Nyulnyulan","1","1",,"1",,,,,,"1"
"tusc1257","Tuscarora","North America",43.1303,-79.4214,"tus","language","iroq1247","","false","Iroquoian",,,"1",,"1",,"1",,,
"moha1258","Mohawk","North America",43.72,-74.66836,"moh","language","iroq1247","","false","Iroquoian","1","1","1",,"1",,,,,"1"
"nucl1632","Sentani","Papunesia",-2.6013,140.512,"set","language","sent1261","","false","Sentanic","1","1",,"1",,,,,,
"xava1240","Xavánte","South America",-14.3017,-52.4367,"xav","language","nucl1710","","false","Nuclear-Macro-Je",,,"1",,,"1",,,,
"nucl1302","Georgian","Eurasia",41.850397,43.78613,"kat","language","kart1248","","false","Kartvelian","1","1",,"1",,,,,,"1"
"daga1275","Daga","Papunesia",-9.9747,149.263,"dgz","language","daga1274","","false","Dagan","1","1",,"1",,,,,,"1"
"meny1245","Menya","Papunesia",-7.17425,146.071,"mcr","language","anga1289","","false","Angan","1","1",,"1",,,,,,"1"
"embe1260","Emberá-Catío","South America",7.52721,-76.7476,"cto","language","choc1280","","false","Chocoan",,"1","1",,,"1",,"1",,
"ingu1240","Ingush","Eurasia",43.11,45.03,"inh","language","nakh1245","","false","Nakh-Daghestanian","1","1",,"1",,,,,,"1"
"chim1309","Chimila","South America",10.1902,-74.2559,"cbg","language","chib1249","","false","Chibchan",,,"1",,,"1",,"1",,"1"
"teri1250","Teribe","North America",9.067,-82.9631,"tfr","language","chib1249","","false","Chibchan",,,"1",,"1","1",,,,
"cent2050","Central Kanuri","Africa",11.8,13.13,"knc","language","saha1256","","false","Saharan","1","1",,"1",,,,,,"1"
"murl1244","Murle","Africa",6.69756,33.988,"mur","language","surm1244","","false","Surmic","1","1",,"1",,,,,,"1"
"guah1255","Sikuani","South America",5.81736,-68.9839,"guh","language","guah1252","","false","Guahiboan",,"1","1",,,"1",,"1",,"1"
"gavi1246","Gavião Do Jiparaná","South America",-10.7235,-61.6752,"gvo","language","tupi1275","","false","Tupian",,,"1",,,"1",,,,
"awet1244","Awetí","South America",-12.381944,-53.391944,"awe","language","tupi1275","","false","Tupian",,,"1",,,"1",,,,
"trio1238","Trió","South America",2.53616,-55.7599,"tri","language","cari1283","","false","Cariban",,,"1",,,"1",,,,
"yuca1254","Yucatec Maya","North America",18.7757,-88.9567,"yua","language","maya1287","","false","Mayan",,,"1",,"1","1",,,,
"pila1245","Pilagá","South America",-25.0058,-60.1537,"plg","language","guai1249","","false","Guaicuruan","1","1","1",,,"1",,"1",,
"sout2985","Southern Sierra Miwok","North America",38.2363,-120.507,"skd","language","miwo1274","","false","Miwok-Costanoan","1","1","1",,"1",,,,"1","1"
"thay1249","Thayore","Australia",-14.8159,142.034,"thd","language","pama1250","","false","Pama-Nyungan",,,,"1",,,,,,"1"
"toho1245","Tohono O'odham","North America",31.7973,-111.995,"ood","language","utoa1244","","false","Uto-Aztecan",,,"1",,"1",,,,,
"coma1245","Comanche","North America",34,-101,"com","language","utoa1244","","false","Uto-Aztecan",,,"1",,"1",,,,,"1"
"nort2954","Northern Paiute","North America",40.0799,-119.536,"pao","language","utoa1244","","false","Uto-Aztecan",,,"1",,"1",,,,,
"negi1245","Negidal","Eurasia",52.96584,139.20575,"neg","language","tung1282","","false","Tungusic","1","1","1",,,,,,,"1"
"halk1245","Halkomelem","North America",49.250402,-122.443668,"hur","language","sali1255","","false","Salishan",,,"1",,"1",,,,,
"uppe1439","Upper Chehalis","North America",46.7981,-123.169,"cjh","language","sali1255","","false","Salishan",,,"1",,"1",,,,,
"nama1264","Nama (Namibia)","Africa",-25.0747,17.9767,"naq","language","khoe1240","","false","Khoe-Kwadi","1","1",,"1",,,,,,
"kala1399","Kalaallisut","North America",69.3761,-52.864,"kal","language","eski1264","","false","Eskimo-Aleut",,,"1",,"1",,"1",,"1",
"apur1254","Apurinã","South America",-8.21692,-66.7714,"apu","language","araw1281","","false","Arawakan",,,"1",,,"1",,,,"1"
"miam1252","Miami","North America",40,-90,"mia","language","algi1248","","false","Algic",,,"1",,"1",,,,,
"kash1280","Kashaya","North America",38.5424,-123.08,"kju","language","pomo1273","","false","Pomoan",,,"1",,"1",,,,,
"cube1242","Cubeo","South America",1.32382,-70.1939,"cub","language","tuca1253","","false","Tucanoan",,,"1",,,"1",,,,"1"
"yano1262","Yanomám","South America",2.48999,-62.8522,"wca","language","yano1268","","false","Yanomamic",,"1","1",,,"1",,,,
"yaum1237","Yau-Nungon","Papunesia",-6.08274,146.841,"yuw","language","nucl1709","","false","Nuclear Trans New Guinea","1","1",,"1",,,,,,
"nene1249","Tundra Nenets","Eurasia",66.1775,71.0234,"yrk","language","ural1272","","false","Uralic","1","1",,"1",,,,,,"1"
"maba1277","Maba (Chad)","Africa",12.89147,20.8889,"mde","language","maba1274","","false","Maban","1","1",,"1",,,,,,"1"
"imba1240","Imbabura Highland Quichua","South America",0.31776,-78.3729,"qvi","language","quec1387","","false","Quechuan",,,"1",,,"1",,,,
"sant1432","Santiago del Estero Quichua","South America",-27.821,-63.2466,"qus","language","quec1387","","false","Quechuan","1","1","1",,,"1",,,,
"nort2980","North Junín Quechua","South America",-11.2132,-75.8128,"qvn","language","quec1387","","false","Quechuan",,,"1",,,"1",,,,
"hual1241","Huallaga Huánuco Quechua","South America",-9.57135,-75.594,"qub","language","quec1387","","false","Quechuan",,,"1",,,"1",,,,"1"
"lako1248","Lakondê","South America",-13.2,-60.5,"lkd","language","namb1299","","false","Nambiquaran","1","1","1",,,"1",,"1",,
"nort1550","Taos Northern Tiwa","North America",36.4277,-105.604,"twf","language","kiow1265","","false","Kiowa-Tanoan",,,"1",,"1",,,,,
"maxa1247","Maxakalí","South America",-16.9402,-40.7891,"mbl","language","nucl1710","","false","Nuclear-Macro-Je",,,"1",,,"1",,"1",,
"mari1440","Maricopa","North America",33.5123,-111.749,"mrc","language","coch1271","","false","Cochimi-Yuman","1","1","1",,"1",,"1",,,"1"
"saki1248","Mekens","South America",-13.054,-62.0927,"skf","language","tupi1275","","false","Tupian",,,"1",,,"1",,,,
"buki1249","Bukiyip","Papunesia",-3.47169,143.111,"ape","language","nucl1708","","false","Nuclear Torricelli","1","1",,"1",,,,,,"1"
"wari1268","Wari'","South America",-10.69948,-64.56152,"pav","language","chap1271","","false","Chapacuran",,"1","1",,,"1",,"1",,
"mart1255","Martuthunira","Australia",-20.9294,116.607,"vma","language","pama1250","","false","Pama-Nyungan","1","1",,"1",,,,,,
"cahu1264","Cahuilla","North America",33.5324,-116.691,"chl","language","utoa1244","","false","Uto-Aztecan",,"1","1",,"1",,,,,
"miya1260","Miyako-Jima","Eurasia",24.7564,125.363,"","dialect","japo1237","miya1259","","Japonic","1","1",,"1",,,,,,
"gari1256","Garifuna","North America",15.3529,-86.9091,"cab","language","araw1281","","false","Arawakan",,,"1",,"1","1",,,,
"tari1256","Tariana","South America",0.440205,-68.9042,"tae","language","araw1281","","false","Arawakan",,,"1",,,"1",,,,
"wapi1253","Wapishana","South America",2.58744,-59.8021,"wap","language","araw1281","","false","Arawakan",,,"1",,,"1",,,,
"trin1274","Trinitario-Javeriano-Loretano","South America",-15.3331,-65.4096,"trn","language","araw1281","","false","Arawakan",,,"1",,,"1",,,,
"pare1272","Parecís","South America",-14.5929,-57.4059,"pab","language","araw1281","","false","Arawakan",,,"1",,,"1",,,,
"swam1239","Swampy Cree","North America",56,-95,"csw","language","algi1248","","false","Algic","1","1","1",,"1",,,,,
"lako1247","Lakota","North America",46.3699,-103.95,"lkt","language","siou1252","","false","Siouan","1","1","1",,"1",,"1",,,
"hupa1239","Hupa-Chilula","North America",41.0982,-123.68,"hup","language","atha1245","","false","Athabaskan-Eyak-Tlingit",,,"1",,"1",,,,,
"sion1247","Siona-Tetete","South America",0.31733,-76.0237,"snn","language","tuca1253","","false","Tucanoan","1","1","1",,,"1",,,,
"guan1269","Kotiria","South America",1.07554,-69.5705,"gvc","language","tuca1253","","false","Tucanoan",,,"1",,,"1",,,,
"mats1244","Matsés","South America",-5.73914,-72.6281,"mcf","language","pano1259","","false","Pano-Tacanan",,,"1",,,"1",,,,
"lang1324","Lango (Uganda)","Africa",2.13867,33.0553,"laj","language","nilo1247","","false","Nilotic","1","1",,"1",,,,,,"1"
"kain1272","Kaingang","South America",-27.7671,-52.5394,"kgp","language","nucl1710","","false","Nuclear-Macro-Je",,"1","1",,,"1",,,,
"halh1238","Halh Mongolian","Eurasia",48.32397,106.28874,"khk","language","mong1349","","false","Mongolic-Khitan","1","1","1",,,,,,,"1"
"dukh1234","Dukha","Eurasia",51.9307,98.9318,"","dialect","turk1311","kara1462","","Turkic","1","1",,"1",,,,,,"1"
"kich1262","K'iche'","North America",14.5278,-91.1696,"quc","language","maya1287","","false","Mayan","1","1","1",,"1","1",,,,
"chol1282","Chol","North America",17.4897,-92.4698,"ctu","language","maya1287","","false","Mayan",,,"1",,"1","1",,,,"1"
"popt1235","Popti'","North America",15.6609,-91.6633,"jac","language","maya1287","","false","Mayan",,,"1",,"1","1",,,"1",
"tete1251","Tetelcingo Nahuatl","North America",18.8854,-98.893,"nhg","language","utoa1244","","false","Uto-Aztecan",,,"1",,"1","1",,,,
"pipi1250","Pipil","North America",13.8931,-89.443,"ppl","language","utoa1244","","false","Uto-Aztecan",,,"1",,"1","1",,,,
"nant1250","Nanti","South America",-12.1018,-72.3507,"cox","language","araw1281","","false","Arawakan",,"1","1",,,"1",,,,
"otta1242","Ottawa","North America",44.5988,-83.226,"otw","language","algi1248","","false","Algic",,,"1",,"1",,,,,
"nava1243","Navajo","North America",36.33,-109.38,"nav","language","atha1245","","false","Athabaskan-Eyak-Tlingit",,,"1",,"1",,,,"1",
"nort2942","North Slavey","North America",63.5,-125.67,"scs","language","atha1245","","false","Athabaskan-Eyak-Tlingit","1","1","1",,"1",,,,,"1"
"mali1285","Malinaltepec Me'phaa","North America",17.2122,-98.6322,"tcf","language","otom1299","","false","Otomanguean",,"1","1",,"1","1",,,,
"ship1254","Shipibo-Conibo","South America",-7.17105,-74.8219,"shp","language","pano1259","","false","Pano-Tacanan",,,"1",,,"1",,,,
"galo1242","Galo","Eurasia",27.9805586,94.6884956,"adl","language","sino1245","","false","Sino-Tibetan","1","1",,"1",,,,,,"1"
"cane1242","Canela-Krahô","South America",-6.10712,-45.1299,"ram","language","nucl1710","","false","Nuclear-Macro-Je",,,"1",,,"1",,,,
"bulo1242","Bulo Stieng","Eurasia",11.9777,106.798,"sti","language","aust1305","","false","Austroasiatic","1","1",,"1",,,,,,
"tupi1273","Tupinambá","South America",-22.807778,-42.106389,"tpn","language","tupi1275","","false","Tupian",,,"1",,,"1",,,,
"kamb1316","Kambaata","Africa",7.37582,37.9088,"ktb","language","afro1255","","false","Afro-Asiatic","1","1",,"1",,,,,,
"male1292","Malecite-Passamaquoddy","North America",45.494475,-67.40805,"pqm","language","algi1248","","false","Algic",,,"1",,"1",,,,,
"quer1236","Querétaro Otomi","North America",20.1396,-100.115,"otq","language","otom1299","","false","Otomanguean",,,"1",,"1","1",,,,
"emer1243","Teko","South America",3.23694,-52.3699,"eme","language","tupi1275","","false","Tupian","1","1","1",,,"1",,"1",,"1"
"coca1259","Cocama-Cocamilla","South America",-4.5,-74,"cod","language","tupi1275","","false","Tupian",,,"1",,,"1",,,,
"iris1253","Irish","Eurasia",53.2186,-7.61509,"gle","language","indo1319","","false","Indo-European","1","1",,"1",,,,,,"1"
"magd1235","Magdalena Peñasco Mixtec","North America",17.2837,-97.5413,"xtm","language","otom1299","","false","Otomanguean",,,"1",,"1","1",,,"1",
"para1311","Paraguayan Guaraní","South America",-25.60551,-57.08816,"gug","language","tupi1275","","false","Tupian",,,"1",,,"1",,,,
"bamb1269","Bambara","Africa",12.9,-7.65,"bam","language","mand1469","","false","Mande","1","1",,"1",,,,,,
"mezo1235","Mezontla Popoloca","North America",18.1442,-97.5879,"pbe","language","otom1299","","false","Otomanguean",,,"1",,"1","1",,,,
"sier1250","Sierra de Juárez Zapotec","North America",17.4219,-96.6191,"zaa","language","otom1299","","false","Otomanguean",,,"1",,"1","1",,,,
"tuka1248","Tukang Besi North","Papunesia",-5.30994,123.578,"khc","language","aust1307","","false","Austronesian","1","1",,"1",,,,,,"1"
"laoo1244","Lao","Eurasia",19,102.46,"lao","language","taik1256","","false","Tai-Kadai","1","1",,"1",,,,,,
"yoru1245","Yoruba","Africa",7.15345,3.67225,"yor","language","atla1278","","false","Atlantic-Congo","1","1",,"1",,,,,,"1"
