"CodeID","ParameterID","Description","icons"
"yes_Ppron-003","Ppron-003","yes","#e03a3a"
"no_Ppron-003","Ppron-003","no","#b3b3b3"
"NA_Ppron-003","Ppron-003","NA",
"?_Ppron-003","Ppron-003","?",
"UNCODED_Ppron-003","Ppron-003","UNCODED",
"ERROR_Ppron-003","Ppron-003","ERROR",
"yes_Ppron-01","Ppron-01","yes","#e03a3a"
"no_Ppron-01","Ppron-01","no","#b3b3b3"
"NA_Ppron-01","Ppron-01","NA",
"?_Ppron-01","Ppron-01","?",
"UNCODED_Ppron-01","Ppron-01","UNCODED",
"ERROR_Ppron-01","Ppron-01","ERROR",
"yes_Ppron-01a","Ppron-01a","yes","#e03a3a"
"no_Ppron-01a","Ppron-01a","no","#b3b3b3"
"NA_Ppron-01a","Ppron-01a","NA",
"?_Ppron-01a","Ppron-01a","?",
"UNCODED_Ppron-01a","Ppron-01a","UNCODED",
"ERROR_Ppron-01a","Ppron-01a","ERROR",
"yes_Ppron-02","Ppron-02","yes","#e03a3a"
"no_Ppron-02","Ppron-02","no","#b3b3b3"
"NA_Ppron-02","Ppron-02","NA",
"?_Ppron-02","Ppron-02","?",
"UNCODED_Ppron-02","Ppron-02","UNCODED",
"ERROR_Ppron-02","Ppron-02","ERROR",
"yes_Ppron-03","Ppron-03","yes","#e03a3a"
"no_Ppron-03","Ppron-03","no","#b3b3b3"
"NA_Ppron-03","Ppron-03","NA",
"?_Ppron-03","Ppron-03","?",
"UNCODED_Ppron-03","Ppron-03","UNCODED",
"ERROR_Ppron-03","Ppron-03","ERROR",
"inclusive_Ppron-04","Ppron-04","inclusive","#e03a3a"
"exclusive_Ppron-04","Ppron-04","exclusive","#0d6fd1"
"unified-we_Ppron-04","Ppron-04","unified we","#f0c808"
"no_Ppron-04","Ppron-04","no","#462255"
"NA_Ppron-04","Ppron-04","NA",
"?_Ppron-04","Ppron-04","?",
"UNCODED_Ppron-04","Ppron-04","UNCODED",
"ERROR_Ppron-04","Ppron-04","ERROR",
"yes_Ppron-04a","Ppron-04a","yes","#e03a3a"
"no_Ppron-04a","Ppron-04a","no","#b3b3b3"
"NA_Ppron-04a","Ppron-04a","NA",
"?_Ppron-04a","Ppron-04a","?",
"UNCODED_Ppron-04a","Ppron-04a","UNCODED",
"ERROR_Ppron-04a","Ppron-04a","ERROR",
"yes_Ppron-05","Ppron-05","yes","#e03a3a"
"no_Ppron-05","Ppron-05","no","#b3b3b3"
"NA_Ppron-05","Ppron-05","NA",
"?_Ppron-05","Ppron-05","?",
"UNCODED_Ppron-05","Ppron-05","UNCODED",
"ERROR_Ppron-05","Ppron-05","ERROR",
"1excl-or-pl-is-1sg-plus-pl_Ppron-06","Ppron-06","1excl or pl is 1sg plus pl","#e03a3a"
"1excl-or-pl-includes-1sg_Ppron-06","Ppron-06","1excl or pl includes 1sg","#0d6fd1"
"no-relation_Ppron-06","Ppron-06","no relation","#462255"
"NA_Ppron-06","Ppron-06","NA",
"?_Ppron-06","Ppron-06","?",
"UNCODED_Ppron-06","Ppron-06","UNCODED",
"ERROR_Ppron-06","Ppron-06","ERROR",
"yes_Ppron-06a","Ppron-06a","yes","#e03a3a"
"no_Ppron-06a","Ppron-06a","no","#b3b3b3"
"NA_Ppron-06a","Ppron-06a","NA",
"?_Ppron-06a","Ppron-06a","?",
"UNCODED_Ppron-06a","Ppron-06a","UNCODED",
"ERROR_Ppron-06a","Ppron-06a","ERROR",
"yes_Ppron-06b","Ppron-06b","yes","#e03a3a"
"no_Ppron-06b","Ppron-06b","no","#b3b3b3"
"NA_Ppron-06b","Ppron-06b","NA",
"?_Ppron-06b","Ppron-06b","?",
"UNCODED_Ppron-06b","Ppron-06b","UNCODED",
"ERROR_Ppron-06b","Ppron-06b","ERROR",
"1incl-is-1sg-plus-pl_Ppron-07","Ppron-07","1incl is 1sg plus pl","#e03a3a"
"1incl-includes-1sg_Ppron-07","Ppron-07","1incl includes 1sg","#0d6fd1"
"no-relation_Ppron-07","Ppron-07","no relation","#462255"
"NA_Ppron-07","Ppron-07","NA",
"?_Ppron-07","Ppron-07","?",
"UNCODED_Ppron-07","Ppron-07","UNCODED",
"ERROR_Ppron-07","Ppron-07","ERROR",
"yes_Ppron-07a","Ppron-07a","yes","#e03a3a"
"no_Ppron-07a","Ppron-07a","no","#b3b3b3"
"NA_Ppron-07a","Ppron-07a","NA",
"?_Ppron-07a","Ppron-07a","?",
"UNCODED_Ppron-07a","Ppron-07a","UNCODED",
"ERROR_Ppron-07a","Ppron-07a","ERROR",
"yes_Ppron-07b","Ppron-07b","yes","#e03a3a"
"no_Ppron-07b","Ppron-07b","no","#b3b3b3"
"NA_Ppron-07b","Ppron-07b","NA",
"?_Ppron-07b","Ppron-07b","?",
"UNCODED_Ppron-07b","Ppron-07b","UNCODED",
"ERROR_Ppron-07b","Ppron-07b","ERROR",
"yes_Ppron-08","Ppron-08","yes","#e03a3a"
"no_Ppron-08","Ppron-08","no","#b3b3b3"
"NA_Ppron-08","Ppron-08","NA",
"?_Ppron-08","Ppron-08","?",
"UNCODED_Ppron-08","Ppron-08","UNCODED",
"ERROR_Ppron-08","Ppron-08","ERROR",
"yes_Ppron-08a","Ppron-08a","yes","#e03a3a"
"no_Ppron-08a","Ppron-08a","no","#b3b3b3"
"NA_Ppron-08a","Ppron-08a","NA",
"?_Ppron-08a","Ppron-08a","?",
"UNCODED_Ppron-08a","Ppron-08a","UNCODED",
"ERROR_Ppron-08a","Ppron-08a","ERROR",
"yes_Ppron-09","Ppron-09","yes","#e03a3a"
"no_Ppron-09","Ppron-09","no","#b3b3b3"
"NA_Ppron-09","Ppron-09","NA",
"?_Ppron-09","Ppron-09","?",
"UNCODED_Ppron-09","Ppron-09","UNCODED",
"ERROR_Ppron-09","Ppron-09","ERROR",
"yes_Ppron-09a","Ppron-09a","yes","#e03a3a"
"no_Ppron-09a","Ppron-09a","no","#b3b3b3"
"NA_Ppron-09a","Ppron-09a","NA",
"?_Ppron-09a","Ppron-09a","?",
"UNCODED_Ppron-09a","Ppron-09a","UNCODED",
"ERROR_Ppron-09a","Ppron-09a","ERROR",
"yes_SgPl-01","SgPl-01","yes","#e03a3a"
"no_SgPl-01","SgPl-01","no","#b3b3b3"
"?_SgPl-01","SgPl-01","?",
"UNCODED_SgPl-01","SgPl-01","UNCODED",
"ERROR_SgPl-01","SgPl-01","ERROR",
"Sg-Pl_SgPl-01a","SgPl-01a","Sg-Pl","#0d6fd1"
"irregular-MonoPl_SgPl-01a","SgPl-01a","irregular MonoPl","#462255"
"Sg-Pl-and-irregular-MonoPl_SgPl-01a","SgPl-01a","Sg-Pl and irregular MonoPl","#e03a3a"
"none_SgPl-01a","SgPl-01a","none","#f0c808"
"?_SgPl-01a","SgPl-01a","?",
"UNCODED_SgPl-01a","SgPl-01a","UNCODED",
"ERROR_SgPl-01a","SgPl-01a","ERROR",
"yes_SgPl-02","SgPl-02","yes","#e03a3a"
"no-common-pattern_SgPl-02","SgPl-02","no common pattern","#0d6fd1"
"NA_SgPl-02","SgPl-02","NA",
"?_SgPl-02","SgPl-02","?",
"UNCODED_SgPl-02","SgPl-02","UNCODED",
"ERROR_SgPl-02","SgPl-02","ERROR",
"NA_SgPl-03","SgPl-03","NA",
"2_SgPl-03","SgPl-03","2","#004cb2"
"3_SgPl-03","SgPl-03","3","#007fd4"
"4_SgPl-03","SgPl-03","4","#0098e5"
"5_SgPl-03","SgPl-03","5","#00a5ee"
"6_SgPl-03","SgPl-03","6","#00b2f6"
"9_SgPl-03","SgPl-03","9","#00bfff"
"12_SgPl-03","SgPl-03","12","#001990"
"13_SgPl-03","SgPl-03","13","#002699"
"15_SgPl-03","SgPl-03","15","#0032a1"
"19_SgPl-03","SgPl-03","19","#003faa"
"20_SgPl-03","SgPl-03","20","#0059bb"
"25_SgPl-03","SgPl-03","25","#0065c3"
"27_SgPl-03","SgPl-03","27","#0072cc"
"30_SgPl-03","SgPl-03","30","#008cdd"
"101_SgPl-03","SgPl-03","101","#000080"
"118_SgPl-03","SgPl-03","118","#000c88"
"?_SgPl-03","SgPl-03","?",
"UNCODED_SgPl-03","SgPl-03","UNCODED",
"ERROR_SgPl-03","SgPl-03","ERROR",
"yes_SgPl-04","SgPl-04","yes","#e03a3a"
"no_SgPl-04","SgPl-04","no","#b3b3b3"
"NA_SgPl-04","SgPl-04","NA",
"?_SgPl-04","SgPl-04","?",
"UNCODED_SgPl-04","SgPl-04","UNCODED",
"ERROR_SgPl-04","SgPl-04","ERROR",
"NA_SgPl-05","SgPl-05","NA",
"1_SgPl-05","SgPl-05","1","#000080"
"2_SgPl-05","SgPl-05","2","#0054b7"
"3_SgPl-05","SgPl-05","3","#007ad1"
"4_SgPl-05","SgPl-05","4","#0089db"
"5_SgPl-05","SgPl-05","5","#0098e5"
"6_SgPl-05","SgPl-05","6","#00a0ea"
"7_SgPl-05","SgPl-05","7","#00aff4"
"8_SgPl-05","SgPl-05","8","#00b7f9"
"9_SgPl-05","SgPl-05","9","#00bfff"
"10_SgPl-05","SgPl-05","10","#000785"
"11_SgPl-05","SgPl-05","11","#000f8a"
"12_SgPl-05","SgPl-05","12","#00168f"
"13_SgPl-05","SgPl-05","13","#001e94"
"14_SgPl-05","SgPl-05","14","#002699"
"15_SgPl-05","SgPl-05","15","#002d9e"
"16_SgPl-05","SgPl-05","16","#0035a3"
"17_SgPl-05","SgPl-05","17","#003da8"
"18_SgPl-05","SgPl-05","18","#0044ad"
"19_SgPl-05","SgPl-05","19","#004cb2"
"21_SgPl-05","SgPl-05","21","#005bbc"
"22_SgPl-05","SgPl-05","22","#0063c2"
"26_SgPl-05","SgPl-05","26","#006ac7"
"29_SgPl-05","SgPl-05","29","#0072cc"
"34_SgPl-05","SgPl-05","34","#0081d6"
"46_SgPl-05","SgPl-05","46","#0091e0"
"61_SgPl-05","SgPl-05","61","#00a8ef"
"?_SgPl-05","SgPl-05","?",
"UNCODED_SgPl-05","SgPl-05","UNCODED",
"ERROR_SgPl-05","SgPl-05","ERROR",
"yes_SgPl-06","SgPl-06","yes","#e03a3a"
"no_SgPl-06","SgPl-06","no","#b3b3b3"
"NA_SgPl-06","SgPl-06","NA",
"?_SgPl-06","SgPl-06","?",
"UNCODED_SgPl-06","SgPl-06","UNCODED",
"ERROR_SgPl-06","SgPl-06","ERROR",
"intransitive_SgPl-07","SgPl-07","intransitive","#e03a3a"
"transitive_SgPl-07","SgPl-07","transitive","#462255"
"both_SgPl-07","SgPl-07","both","#0d6fd1"
"NA_SgPl-07","SgPl-07","NA",
"?_SgPl-07","SgPl-07","?",
"UNCODED_SgPl-07","SgPl-07","UNCODED",
"ERROR_SgPl-07","SgPl-07","ERROR",
"yes_SgPl-08","SgPl-08","yes","#e03a3a"
"no_SgPl-08","SgPl-08","no","#b3b3b3"
"NA_SgPl-08","SgPl-08","NA",
"?_SgPl-08","SgPl-08","?",
"UNCODED_SgPl-08","SgPl-08","UNCODED",
"ERROR_SgPl-08","SgPl-08","ERROR",
"NA_SgPl-09","SgPl-09","NA",
"0_SgPl-09","SgPl-09","0","#000080"
"1_SgPl-09","SgPl-09","1","#001b92"
"2_SgPl-09","SgPl-09","2","#0036a4"
"3_SgPl-09","SgPl-09","3","#0051b6"
"4_SgPl-09","SgPl-09","4","#006dc8"
"5_SgPl-09","SgPl-09","5","#0088da"
"6_SgPl-09","SgPl-09","6","#00a3ec"
"7_SgPl-09","SgPl-09","7","#00bfff"
"?_SgPl-09","SgPl-09","?",
"UNCODED_SgPl-09","SgPl-09","UNCODED",
"ERROR_SgPl-09","SgPl-09","ERROR",
"yes_SgPl-10","SgPl-10","yes","#e03a3a"
"no_SgPl-10","SgPl-10","no","#b3b3b3"
"NA_SgPl-10","SgPl-10","NA",
"?_SgPl-10","SgPl-10","?",
"UNCODED_SgPl-10","SgPl-10","UNCODED",
"ERROR_SgPl-10","SgPl-10","ERROR",
"NA_SgPl-11","SgPl-11","NA",
"0_SgPl-11","SgPl-11","0","#000080"
"1_SgPl-11","SgPl-11","1","#000d89"
"2_SgPl-11","SgPl-11","2","#0051b6"
"3_SgPl-11","SgPl-11","3","#006dc8"
"4_SgPl-11","SgPl-11","4","#007ad1"
"5_SgPl-11","SgPl-11","5","#0088da"
"6_SgPl-11","SgPl-11","6","#0096e3"
"7_SgPl-11","SgPl-11","7","#00a3ec"
"8_SgPl-11","SgPl-11","8","#00b1f5"
"9_SgPl-11","SgPl-11","9","#00bfff"
"10_SgPl-11","SgPl-11","10","#001b92"
"11_SgPl-11","SgPl-11","11","#00289b"
"15_SgPl-11","SgPl-11","15","#0036a4"
"19_SgPl-11","SgPl-11","19","#0044ad"
"22_SgPl-11","SgPl-11","22","#005fbf"
"?_SgPl-11","SgPl-11","?",
"UNCODED_SgPl-11","SgPl-11","UNCODED",
"ERROR_SgPl-11","SgPl-11","ERROR",
"description_SgPl-12","SgPl-12","description","#0d6fd1"
"none_SgPl-12","SgPl-12","none","#e03a3a"
"NA_SgPl-12","SgPl-12","NA",
"?_SgPl-12","SgPl-12","?",
"UNCODED_SgPl-12","SgPl-12","UNCODED",
"ERROR_SgPl-12","SgPl-12","ERROR",
"NA_SgPl-13","SgPl-13","NA",
"0_SgPl-13","SgPl-13","0","#000080"
"1_SgPl-13","SgPl-13","1","#002699"
"2_SgPl-13","SgPl-13","2","#004cb2"
"3_SgPl-13","SgPl-13","3","#0072cc"
"4_SgPl-13","SgPl-13","4","#0098e5"
"5_SgPl-13","SgPl-13","5","#00bfff"
"?_SgPl-13","SgPl-13","?",
"UNCODED_SgPl-13","SgPl-13","UNCODED",
"ERROR_SgPl-13","SgPl-13","ERROR",
"NA_SgPl-14","SgPl-14","NA",
"0_SgPl-14","SgPl-14","0","#000080"
"1_SgPl-14","SgPl-14","1","#00118b"
"2_SgPl-14","SgPl-14","2","#0045ae"
"3_SgPl-14","SgPl-14","3","#0056b9"
"4_SgPl-14","SgPl-14","4","#0079d0"
"5_SgPl-14","SgPl-14","5","#008adc"
"6_SgPl-14","SgPl-14","6","#009ce7"
"7_SgPl-14","SgPl-14","7","#00adf3"
"8_SgPl-14","SgPl-14","8","#00bfff"
"10_SgPl-14","SgPl-14","10","#002297"
"18_SgPl-14","SgPl-14","18","#0034a2"
"37_SgPl-14","SgPl-14","37","#0068c5"
"?_SgPl-14","SgPl-14","?",
"UNCODED_SgPl-14","SgPl-14","UNCODED",
"ERROR_SgPl-14","SgPl-14","ERROR",
"NA_SgPl-15","SgPl-15","NA",
"yes_SgPl-15","SgPl-15","yes","#e03a3a"
"no_SgPl-15","SgPl-15","no","#b3b3b3"
"?_SgPl-15","SgPl-15","?",
"UNCODED_SgPl-15","SgPl-15","UNCODED",
"ERROR_SgPl-15","SgPl-15","ERROR",
"unaccusative_SgPl-16","SgPl-16","unaccusative","#e03a3a"
"unergative_SgPl-16","SgPl-16","unergative","#462255"
"both_SgPl-16","SgPl-16","both","#0d6fd1"
"NA_SgPl-16","SgPl-16","NA",
"?_SgPl-16","SgPl-16","?",
"UNCODED_SgPl-16","SgPl-16","UNCODED",
"ERROR_SgPl-16","SgPl-16","ERROR",
"yes_SgPl-16a","SgPl-16a","yes","#e03a3a"
"no_SgPl-16a","SgPl-16a","no","#b3b3b3"
"NA_SgPl-16a","SgPl-16a","NA",
"?_SgPl-16a","SgPl-16a","?",
"UNCODED_SgPl-16a","SgPl-16a","UNCODED",
"ERROR_SgPl-16a","SgPl-16a","ERROR",
"yes_SgPl-16b","SgPl-16b","yes","#e03a3a"
"no_SgPl-16b","SgPl-16b","no","#b3b3b3"
"NA_SgPl-16b","SgPl-16b","NA",
"?_SgPl-16b","SgPl-16b","?",
"UNCODED_SgPl-16b","SgPl-16b","UNCODED",
"ERROR_SgPl-16b","SgPl-16b","ERROR",
"yes_SgPl-17","SgPl-17","yes","#e03a3a"
"no_SgPl-17","SgPl-17","no","#b3b3b3"
"NA_SgPl-17","SgPl-17","NA",
"?_SgPl-17","SgPl-17","?",
"UNCODED_SgPl-17","SgPl-17","UNCODED",
"ERROR_SgPl-17","SgPl-17","ERROR",
"a_SgPl-18","SgPl-18","a","#0d6fd1"
"p_SgPl-18","SgPl-18","p","#f0c808"
"either_SgPl-18","SgPl-18","either","#462255"
"both_SgPl-18","SgPl-18","both","#e03a3a"
"NA_SgPl-18","SgPl-18","NA",
"?_SgPl-18","SgPl-18","?",
"UNCODED_SgPl-18","SgPl-18","UNCODED",
"ERROR_SgPl-18","SgPl-18","ERROR",
"NA_SgPl-19","SgPl-19","NA",
"sg-pl_SgPl-19","SgPl-19","sg-pl","#1fa380"
"paucal-many_SgPl-19","SgPl-19","paucal-many","#e03a3a"
"individual-collective_SgPl-19","SgPl-19","individual-collective","#0d6fd1"
"sg-du-pl_SgPl-19","SgPl-19","sg-du-pl","#462255"
"sg-paucal-pl_SgPl-19","SgPl-19","sg-paucal-pl","#f0c808"
"?_SgPl-19","SgPl-19","?",
"UNCODED_SgPl-19","SgPl-19","UNCODED",
"ERROR_SgPl-19","SgPl-19","ERROR",
"yes_SgPl-19a","SgPl-19a","yes","#e03a3a"
"no_SgPl-19a","SgPl-19a","no","#b3b3b3"
"NA_SgPl-19a","SgPl-19a","NA",
"?_SgPl-19a","SgPl-19a","?",
"UNCODED_SgPl-19a","SgPl-19a","UNCODED",
"ERROR_SgPl-19a","SgPl-19a","ERROR",
"yes_SgPl-20","SgPl-20","yes","#e03a3a"
"no_SgPl-20","SgPl-20","no","#b3b3b3"
"?_SgPl-20","SgPl-20","?",
"UNCODED_SgPl-20","SgPl-20","UNCODED",
"ERROR_SgPl-20","SgPl-20","ERROR",
"yes_SgPl-21","SgPl-21","yes","#e03a3a"
"no_SgPl-21","SgPl-21","no","#b3b3b3"
"NA_SgPl-21","SgPl-21","NA",
"?_SgPl-21","SgPl-21","?",
"UNCODED_SgPl-21","SgPl-21","UNCODED",
"ERROR_SgPl-21","SgPl-21","ERROR",
"yes_SgPl-22","SgPl-22","yes",
"property-concept-verbs_SgPl-22","SgPl-22","property concept verbs","#e03a3a"
"no_SgPl-22","SgPl-22","no","#b3b3b3"
"NA_SgPl-22","SgPl-22","NA",
"?_SgPl-22","SgPl-22","?",
"UNCODED_SgPl-22","SgPl-22","UNCODED",
"ERROR_SgPl-22","SgPl-22","ERROR",
"no_SocCaus-01","SocCaus-01","no","#b3b3b3"
"yes_SocCaus-01","SocCaus-01","yes","#e03a3a"
"?_SocCaus-01","SocCaus-01","?",
"UNCODED_SocCaus-01","SocCaus-01","UNCODED",
"ERROR_SocCaus-01","SocCaus-01","ERROR",
"NA_SocCaus-02","SocCaus-02","NA",
"morpheme_SocCaus-02","SocCaus-02","morpheme","#1fa380"
"special-causee_SocCaus-02","SocCaus-02","special causee","#e33bae"
"dir-and-indir-caus_SocCaus-02","SocCaus-02","dir-and-indir-caus","#f0c808"
"caus-and-appl_SocCaus-02","SocCaus-02","caus-and-appl","#0d6fd1"
"caus-and-soc_SocCaus-02","SocCaus-02","caus-and-soc","#462255"
"caus-and-other_SocCaus-02","SocCaus-02","caus-and-other","#e03a3a"
"?_SocCaus-02","SocCaus-02","?",
"UNCODED_SocCaus-02","SocCaus-02","UNCODED",
"ERROR_SocCaus-02","SocCaus-02","ERROR",
"description_SocCaus-03","SocCaus-03","description","#0d6fd1"
"NA_SocCaus-03","SocCaus-03","NA",
"?_SocCaus-03","SocCaus-03","?",
"UNCODED_SocCaus-03","SocCaus-03","UNCODED",
"ERROR_SocCaus-03","SocCaus-03","ERROR",
"_SocCaus-04","SocCaus-04","","#1673d4"
"dir-caus_soc-caus_SocCaus-04","SocCaus-04","dir-caus_soc-caus","#efc60d"
"indir-caus_soc-caus_SocCaus-04","SocCaus-04","indir-caus_soc-caus","#16a580"
"rec_soc-caus_SocCaus-04","SocCaus-04","rec_soc-caus","#1cff0d"
"appl_soc-caus_SocCaus-04","SocCaus-04","appl_soc-caus","#d72e2e"
"copart_soc-caus_SocCaus-04","SocCaus-04","copart_soc-caus","#62406e"
"other_SocCaus-04","SocCaus-04","other","#e638ae"
"?_SocCaus-04","SocCaus-04","?",
"UNCODED_SocCaus-04","SocCaus-04","UNCODED",
"ERROR_SocCaus-04","SocCaus-04","ERROR",
"1_Syll-01","Syll-01","1","#000080"
"2_Syll-01","Syll-01","2","#001f95"
"3_Syll-01","Syll-01","3","#003faa"
"4_Syll-01","Syll-01","4","#005fbf"
"5_Syll-01","Syll-01","5","#007fd4"
"7_Syll-01","Syll-01","7","#009fe9"
"8_Syll-01","Syll-01","8","#00bfff"
"?_Syll-01","Syll-01","?",
"UNCODED_Syll-01","Syll-01","UNCODED",
"ERROR_Syll-01","Syll-01","ERROR",
"0_Syll-02","Syll-02","0","#000080"
"1_Syll-02","Syll-02","1","#002699"
"2_Syll-02","Syll-02","2","#004cb2"
"3_Syll-02","Syll-02","3","#0072cc"
"4_Syll-02","Syll-02","4","#0098e5"
"5_Syll-02","Syll-02","5","#00bfff"
"?_Syll-02","Syll-02","?",
"UNCODED_Syll-02","Syll-02","UNCODED",
"ERROR_Syll-02","Syll-02","ERROR",
"1_Syll-03","Syll-03","1","#000080"
"2_Syll-03","Syll-03","2","#0045ae"
"3_Syll-03","Syll-03","3","#0056b9"
"4_Syll-03","Syll-03","4","#0068c5"
"5_Syll-03","Syll-03","5","#0079d0"
"6_Syll-03","Syll-03","6","#008adc"
"7_Syll-03","Syll-03","7","#009ce7"
"8_Syll-03","Syll-03","8","#00adf3"
"9_Syll-03","Syll-03","9","#00bfff"
"10_Syll-03","Syll-03","10","#00118b"
"12_Syll-03","Syll-03","12","#002297"
"13_Syll-03","Syll-03","13","#0034a2"
"?_Syll-03","Syll-03","?",
"UNCODED_Syll-03","Syll-03","UNCODED",
"ERROR_Syll-03","Syll-03","ERROR",
"s_Syll-04","Syll-04","s","#f0c808"
"mc_Syll-04","Syll-04","mc","#462255"
"c_Syll-04","Syll-04","c","#0d6fd1"
"hc_Syll-04","Syll-04","hc","#e03a3a"
"?_Syll-04","Syll-04","?",
"UNCODED_Syll-04","Syll-04","UNCODED",
"ERROR_Syll-04","Syll-04","ERROR",
"c_Syll-05","Syll-05","c","#0d6fd1"
"cg_Syll-05","Syll-05","cg","#462255"
"ccplus_Syll-05","Syll-05","ccplus","#e03a3a"
"?_Syll-05","Syll-05","?",
"UNCODED_Syll-05","Syll-05","UNCODED",
"ERROR_Syll-05","Syll-05","ERROR",
"nocoda_Syll-06","Syll-06","nocoda","#e03a3a"
"sonorant_Syll-06","Syll-06","sonorant","#f0c808"
"simple_Syll-06","Syll-06","simple","#462255"
"complex_Syll-06","Syll-06","complex","#0d6fd1"
"?_Syll-06","Syll-06","?",
"UNCODED_Syll-06","Syll-06","UNCODED",
"ERROR_Syll-06","Syll-06","ERROR",
"yes_ToneProm-01","ToneProm-01","yes","#e03a3a"
"no_ToneProm-01","ToneProm-01","no","#b3b3b3"
"?_ToneProm-01","ToneProm-01","?",
"UNCODED_ToneProm-01","ToneProm-01","UNCODED",
"ERROR_ToneProm-01","ToneProm-01","ERROR",
"contrastive_ToneProm-01a","ToneProm-01a","contrastive","#0d6fd1"
"non-contrastive_ToneProm-01a","ToneProm-01a","non-contrastive","#e03a3a"
"NA_ToneProm-01a","ToneProm-01a","NA",
"?_ToneProm-01a","ToneProm-01a","?",
"UNCODED_ToneProm-01a","ToneProm-01a","UNCODED",
"ERROR_ToneProm-01a","ToneProm-01a","ERROR",
"NA_ToneProm-02","ToneProm-02","NA",
"amplitude_ToneProm-02","ToneProm-02","amplitude","#2671d4"
"duration_ToneProm-02","ToneProm-02","duration","#169e7a"
"amplitude-duration_ToneProm-02","ToneProm-02","amplitude & duration","#ea4545"
"pitch_ToneProm-02","ToneProm-02","pitch","#2afd00"
"amplitude-pitch_ToneProm-02","ToneProm-02","amplitude & pitch","#f0c800"
"duration-pitch_ToneProm-02","ToneProm-02","duration & pitch","#e53bae"
"amplitude-duration-pitch_ToneProm-02","ToneProm-02","amplitude & duration & pitch","#5d3b65"
"?_ToneProm-02","ToneProm-02","?",
"UNCODED_ToneProm-02","ToneProm-02","UNCODED",
"ERROR_ToneProm-02","ToneProm-02","ERROR",
"amplitude_ToneProm-02a","ToneProm-02a","amplitude","#0d6fd1"
"pitch_ToneProm-02a","ToneProm-02a","pitch","#462255"
"duration_ToneProm-02a","ToneProm-02a","duration","#e03a3a"
"NA_ToneProm-02a","ToneProm-02a","NA",
"?_ToneProm-02a","ToneProm-02a","?",
"UNCODED_ToneProm-02a","ToneProm-02a","UNCODED",
"ERROR_ToneProm-02a","ToneProm-02a","ERROR",
"yes_ToneProm-03","ToneProm-03","yes","#e03a3a"
"no_ToneProm-03","ToneProm-03","no","#b3b3b3"
"NA_ToneProm-03","ToneProm-03","NA",
"?_ToneProm-03","ToneProm-03","?",
"UNCODED_ToneProm-03","ToneProm-03","UNCODED",
"ERROR_ToneProm-03","ToneProm-03","ERROR",
"contrastive_ToneProm-04","ToneProm-04","contrastive","#0d6fd1"
"non-contrastive_ToneProm-04","ToneProm-04","non-contrastive","#e03a3a"
"NA_ToneProm-04","ToneProm-04","NA",
"?_ToneProm-04","ToneProm-04","?",
"UNCODED_ToneProm-04","ToneProm-04","UNCODED",
"ERROR_ToneProm-04","ToneProm-04","ERROR",
"yes_ToneProm-05","ToneProm-05","yes","#e03a3a"
"no_ToneProm-05","ToneProm-05","no","#b3b3b3"
"NA_ToneProm-05","ToneProm-05","NA",
"?_ToneProm-05","ToneProm-05","?",
"UNCODED_ToneProm-05","ToneProm-05","UNCODED",
"ERROR_ToneProm-05","ToneProm-05","ERROR",
"contrastive_ToneProm-06","ToneProm-06","contrastive","#0d6fd1"
"non-contrastive_ToneProm-06","ToneProm-06","non-contrastive","#e03a3a"
"NA_ToneProm-06","ToneProm-06","NA",
"?_ToneProm-06","ToneProm-06","?",
"UNCODED_ToneProm-06","ToneProm-06","UNCODED",
"ERROR_ToneProm-06","ToneProm-06","ERROR",
"yes_ToneProm-07","ToneProm-07","yes","#e03a3a"
"no_ToneProm-07","ToneProm-07","no","#b3b3b3"
"NA_ToneProm-07","ToneProm-07","NA",
"?_ToneProm-07","ToneProm-07","?",
"UNCODED_ToneProm-07","ToneProm-07","UNCODED",
"ERROR_ToneProm-07","ToneProm-07","ERROR",
"contrastive_ToneProm-08","ToneProm-08","contrastive","#0d6fd1"
"non-contrastive_ToneProm-08","ToneProm-08","non-contrastive","#e03a3a"
"NA_ToneProm-08","ToneProm-08","NA",
"?_ToneProm-08","ToneProm-08","?",
"UNCODED_ToneProm-08","ToneProm-08","UNCODED",
"ERROR_ToneProm-08","ToneProm-08","ERROR",
"yes_ToneProm-09","ToneProm-09","yes","#e03a3a"
"no_ToneProm-09","ToneProm-09","no","#b3b3b3"
"?_ToneProm-09","ToneProm-09","?",
"UNCODED_ToneProm-09","ToneProm-09","UNCODED",
"ERROR_ToneProm-09","ToneProm-09","ERROR",
"yes_ToneProm-09a","ToneProm-09a","yes","#e03a3a"
"no_ToneProm-09a","ToneProm-09a","no","#b3b3b3"
"?_ToneProm-09a","ToneProm-09a","?",
"UNCODED_ToneProm-09a","ToneProm-09a","UNCODED",
"ERROR_ToneProm-09a","ToneProm-09a","ERROR",
"yes_ToneProm-09b","ToneProm-09b","yes","#e03a3a"
"no_ToneProm-09b","ToneProm-09b","no","#b3b3b3"
"?_ToneProm-09b","ToneProm-09b","?",
"UNCODED_ToneProm-09b","ToneProm-09b","UNCODED",
"ERROR_ToneProm-09b","ToneProm-09b","ERROR",
"lexical_ToneProm-10","ToneProm-10","lexical","#462255"
"grammatical_ToneProm-10","ToneProm-10","grammatical","#e03a3a"
"both_ToneProm-10","ToneProm-10","both","#0d6fd1"
"NA_ToneProm-10","ToneProm-10","NA",
